filename,width,height,class,xmin,ymin,xmax,ymax
8052.jpg,1440,1920,needle,49,574,87,614
8052.jpg,1440,1920,needle,814,806,849,845
8052.jpg,1440,1920,needle,511,809,545,846
8052.jpg,1440,1920,needle,639,851,677,885
8052.jpg,1440,1920,needle,317,927,354,968
8052.jpg,1440,1920,needle,558,969,599,1004
8052.jpg,1440,1920,needle,207,1023,243,1059
8052.jpg,1440,1920,needle,163,1054,199,1092
8052.jpg,1440,1920,needle,97,921,133,962
8052.jpg,1440,1920,needle,160,872,203,911
8052.jpg,1440,1920,needle,165,769,207,807
8052.jpg,1440,1920,needle,103,757,141,793
8052.jpg,1440,1920,needle,354,1092,394,1133
8052.jpg,1440,1920,needle,542,1281,584,1326
8052.jpg,1440,1920,needle,601,1420,641,1461
8052.jpg,1440,1920,needle,1015,1314,1055,1361
8052.jpg,1440,1920,needle,659,1149,697,1190
8052.jpg,1440,1920,needle,694,1128,732,1166
8052.jpg,1440,1920,needle,757,1145,801,1185
8052.jpg,1440,1920,needle,150,965,190,1005
8053.jpg,1440,1920,needle,129,225,175,285
8053.jpg,1440,1920,needle,371,304,421,356
8053.jpg,1440,1920,needle,439,428,484,478
8053.jpg,1440,1920,needle,203,882,253,941
8053.jpg,1440,1920,needle,462,1090,511,1137
8053.jpg,1440,1920,needle,322,1180,372,1234
8053.jpg,1440,1920,needle,651,1262,700,1312
8053.jpg,1440,1920,needle,716,1293,756,1348
8053.jpg,1440,1920,needle,601,1439,649,1488
8053.jpg,1440,1920,needle,771,1423,817,1482
8053.jpg,1440,1920,needle,816,1501,863,1555
8053.jpg,1440,1920,needle,1007,1501,1056,1545
8053.jpg,1440,1920,needle,967,1533,1019,1583
8053.jpg,1440,1920,needle,1052,1572,1099,1637
8053.jpg,1440,1920,needle,912,1304,955,1349
8053.jpg,1440,1920,needle,1145,1571,1192,1621
8053.jpg,1440,1920,needle,1022,1039,1071,1090
8053.jpg,1440,1920,needle,706,1072,760,1126
8053.jpg,1440,1920,needle,1104,1155,1149,1208
8053.jpg,1440,1920,needle,970,1450,1016,1501
8054.jpg,1440,1920,needle,92,79,137,132
8054.jpg,1440,1920,needle,294,413,339,467
8054.jpg,1440,1920,needle,537,572,586,627
8054.jpg,1440,1920,needle,250,617,295,665
8054.jpg,1440,1920,needle,306,975,352,1021
8054.jpg,1440,1920,needle,419,1042,461,1087
8054.jpg,1440,1920,needle,494,1153,532,1197
8054.jpg,1440,1920,needle,595,1319,639,1368
8054.jpg,1440,1920,needle,659,1221,699,1272
8054.jpg,1440,1920,needle,850,1234,885,1286
8054.jpg,1440,1920,needle,913,1038,955,1083
8054.jpg,1440,1920,needle,1151,1201,1189,1252
8054.jpg,1440,1920,needle,1322,893,1367,943
8054.jpg,1440,1920,needle,692,1528,735,1579
8054.jpg,1440,1920,needle,853,1551,895,1604
8054.jpg,1440,1920,needle,986,1618,1028,1668
8054.jpg,1440,1920,needle,890,1409,932,1454
8054.jpg,1440,1920,needle,1020,1323,1062,1365
8054.jpg,1440,1920,needle,1108,1566,1151,1613
8054.jpg,1440,1920,needle,734,731,780,775
8055.jpg,1440,1920,needle,8,420,51,472
8055.jpg,1440,1920,needle,327,605,366,647
8055.jpg,1440,1920,needle,120,599,156,646
8055.jpg,1440,1920,needle,566,809,603,843
